Seament ID,Site ID,Product ID,Seament Date,Quantity,Delivery Status,Transportation Type
SHP90000,7EEQ,PRD10038,15-07-2024,76,Cancelled,Rail
SHP90001,NY20,PRD10050,30-08-2024,92,Delivered,Rail
SHP90002,0L72,PRD10049,28-05-2024,40,In Transit,Road
SHP90003,58KX,PRD10001,02-10-2024,50,Delivered,Sea
SHP90004,4ZKL,PRD10053,05-10-2024,79,Cancelled,Rail
SHP90005,XDP5,PRD10060,08-05-2024,12,Cancelled,Road
SHP90006,JI0Y,PRD10033,20-07-2024,15,Delivered,Sea
SHP90007,I3QK,PRD10036,16-02-2025,74,In Transit,Sea
SHP90008,KJLT,PRD10051,13-05-2024,91,Cancelled,Rail
SHP90009,GDPP,PRD10010,06-09-2024,20,Cancelled,Rail
SHP90010,FFYV,PRD10068,15-09-2024,60,Cancelled,Road
SHP90011,P5TB,PRD10089,10-11-2024,40,Delivered,Rail
SHP90012,MYZY,PRD10055,30-05-2024,68,Cancelled,Road
SHP90013,P5TB,PRD10085,03-03-2025,32,Delivered,Road
SHP90014,OTOH,PRD10017,26-03-2025,11,Delivered,Sea
SHP90015,8CGV,PRD10066,21-12-2024,43,Delivered,Air
SHP90016,0T0P,PRD10095,16-08-2024,25,Delivered,Air
SHP90017,FKHM,PRD10034,25-12-2024,18,In Transit,Road
SHP90018,0L72,PRD10058,18-12-2024,56,Delivered,Sea
SHP90019,4ZKL,PRD10021,06-10-2024,30,In Transit,Road
SHP90020,4ZKL,PRD10086,30-05-2024,39,Cancelled,Road
SHP90021,PKH1,PRD10001,04-08-2024,15,In Transit,Air
SHP90022,EXQ7,PRD10019,01-07-2024,14,Cancelled,Sea
SHP90023,SV87,PRD10041,06-08-2024,63,Cancelled,Air
SHP90024,GDPP,PRD10009,18-01-2025,57,Delivered,Road
SHP90025,5JSG,PRD10028,21-12-2024,15,In Transit,Road
SHP90026,T4UF,PRD10036,07-09-2024,51,Delivered,Sea
SHP90027,JI0Y,PRD10047,12-07-2024,47,Cancelled,Air
SHP90028,NY20,PRD10079,03-08-2024,69,In Transit,Sea
SHP90029,M5K8,PRD10099,10-07-2024,79,Delivered,Rail
SHP90030,JI0Y,PRD10052,13-04-2024,39,Cancelled,Air
SHP90031,W1Q5,PRD10088,05-04-2024,52,Delivered,Sea
SHP90032,NY20,PRD10093,05-09-2024,23,Delivered,Rail
SHP90033,93TY,PRD10062,01-05-2024,28,Cancelled,Air
SHP90034,MYZY,PRD10005,28-07-2024,76,In Transit,Air
SHP90035,T4UF,PRD10095,14-05-2024,84,Delivered,Rail
SHP90036,W1Q5,PRD10050,09-05-2024,85,Cancelled,Road
SHP90037,FKHM,PRD10084,06-06-2024,40,In Transit,Air
SHP90038,HOCN,PRD10050,25-03-2025,51,In Transit,Sea
SHP90039,GDPP,PRD10029,09-05-2024,35,Delivered,Road
SHP90040,FFYV,PRD10013,24-06-2024,67,In Transit,Air
SHP90041,93TY,PRD10015,31-12-2024,55,Delivered,Sea
SHP90042,P5TB,PRD10059,14-08-2024,25,Delivered,Rail
SHP90043,0RJI,PRD10038,27-03-2025,99,Cancelled,Road
SHP90044,IUC0,PRD10041,15-06-2024,21,Cancelled,Rail
SHP90045,8CGV,PRD10050,19-12-2024,16,Cancelled,Air
SHP90046,4CIY,PRD10022,16-04-2024,61,In Transit,Rail
SHP90047,J7YH,PRD10059,23-05-2024,27,Delivered,Road
SHP90048,30T9,PRD10099,23-07-2024,26,Delivered,Sea
SHP90049,CXUL,PRD10087,17-02-2025,92,Delivered,Air
SHP90050,CX19,PRD10002,04-05-2024,35,Cancelled,Sea
SHP90051,0T0P,PRD10011,17-09-2024,25,Delivered,Sea
SHP90052,30T9,PRD10021,19-01-2025,65,Cancelled,Sea
SHP90053,0L72,PRD10003,13-10-2024,97,In Transit,Rail
SHP90054,8CGV,PRD10027,05-07-2024,45,In Transit,Sea
SHP90055,FFYV,PRD10004,09-02-2025,89,Cancelled,Rail
SHP90056,A11D,PRD10037,12-12-2024,62,Cancelled,Sea
SHP90057,30T9,PRD10011,22-08-2024,59,Delivered,Sea
SHP90058,T2TA,PRD10082,26-12-2024,41,Cancelled,Road
SHP90059,EXQ7,PRD10091,01-10-2024,71,Cancelled,Sea
SHP90060,8CGV,PRD10072,14-12-2024,51,In Transit,Air
SHP90061,5JSG,PRD10003,11-09-2024,86,Delivered,Road
SHP90062,M5K8,PRD10035,30-04-2024,70,Cancelled,Air
SHP90063,M5K8,PRD10074,29-07-2024,30,Delivered,Rail
SHP90064,7EEQ,PRD10030,15-08-2024,78,Cancelled,Road
SHP90065,XDP5,PRD10028,20-01-2025,59,In Transit,Rail
SHP90066,5JSG,PRD10030,29-01-2025,50,Cancelled,Air
SHP90067,P7Y6,PRD10003,27-03-2025,99,In Transit,Rail
SHP90068,4ZKL,PRD10024,09-12-2024,79,In Transit,Rail
SHP90069,0L72,PRD10004,17-05-2024,17,Delivered,Rail
SHP90070,VUZZ,PRD10067,01-12-2024,10,In Transit,Rail
SHP90071,0T0P,PRD10043,30-06-2024,51,Delivered,Road
SHP90072,FFYV,PRD10075,27-03-2025,28,Delivered,Air
SHP90073,CX19,PRD10047,27-03-2025,94,In Transit,Road
SHP90074,GHC0,PRD10038,13-09-2024,27,Delivered,Sea
SHP90075,W1Q5,PRD10062,27-02-2025,50,Delivered,Air
SHP90076,SV87,PRD10085,27-01-2025,32,In Transit,Air
SHP90077,AM14,PRD10088,29-08-2024,26,Delivered,Road
SHP90078,KJLT,PRD10073,18-10-2024,82,Delivered,Rail
SHP90079,2VLP,PRD10040,08-02-2025,38,Cancelled,Road
SHP90080,0L72,PRD10018,17-09-2024,19,Delivered,Air
SHP90081,HOCN,PRD10021,20-02-2025,21,Cancelled,Air
SHP90082,A1WJ,PRD10001,14-08-2024,36,Delivered,Road
SHP90083,8CGV,PRD10032,26-05-2024,10,Delivered,Sea
SHP90084,A1WJ,PRD10093,01-11-2024,31,In Transit,Sea
SHP90085,EXQ7,PRD10044,05-01-2025,58,Delivered,Sea
SHP90086,4ZKL,PRD10083,18-03-2025,38,Delivered,Sea
SHP90087,CX19,PRD10004,29-08-2024,12,In Transit,Air
SHP90088,J7YH,PRD10009,23-09-2024,31,In Transit,Rail
SHP90089,AM14,PRD10009,06-01-2025,21,In Transit,Sea
SHP90090,OTOH,PRD10003,07-11-2024,93,Delivered,Sea
SHP90091,ZYTJ,PRD10006,22-05-2024,52,Delivered,Rail
SHP90092,93TY,PRD10089,09-01-2025,79,In Transit,Air
SHP90093,P5TB,PRD10030,20-05-2024,16,In Transit,Sea
SHP90094,FFYV,PRD10006,02-10-2024,10,In Transit,Road
SHP90095,M5IG,PRD10084,15-02-2025,86,In Transit,Rail
SHP90096,J7YH,PRD10003,15-07-2024,31,Cancelled,Air
SHP90097,MYZY,PRD10060,30-05-2024,49,In Transit,Sea
SHP90098,0L72,PRD10084,14-08-2024,21,Cancelled,Sea
SHP90099,5JSG,PRD10047,13-10-2024,57,Delivered,Sea
SHP90100,PKH1,PRD10033,12-11-2024,69,In Transit,Rail
SHP90101,GDPP,PRD10072,02-05-2024,29,Cancelled,Road
SHP90102,MYZY,PRD10085,24-09-2024,79,In Transit,Rail
SHP90103,PS3Y,PRD10007,16-10-2024,76,In Transit,Sea
SHP90104,4ZKL,PRD10030,30-11-2024,48,Delivered,Sea
SHP90105,OTOH,PRD10004,14-12-2024,83,Cancelled,Rail
SHP90106,H75L,PRD10096,16-11-2024,32,Delivered,Rail
SHP90107,T2TA,PRD10016,22-04-2024,64,Delivered,Sea
SHP90108,T2TA,PRD10080,15-06-2024,86,In Transit,Air
SHP90109,AM14,PRD10008,15-05-2024,59,Cancelled,Sea
SHP90110,PS3Y,PRD10041,20-08-2024,76,In Transit,Road
SHP90111,KJLT,PRD10079,26-01-2025,76,In Transit,Road
SHP90112,93TY,PRD10019,15-06-2024,82,Cancelled,Road
SHP90113,J7YH,PRD10072,22-05-2024,46,Cancelled,Air
SHP90114,93TY,PRD10033,14-10-2024,93,In Transit,Sea
SHP90115,PKH1,PRD10022,20-08-2024,61,Delivered,Sea
SHP90116,PKH1,PRD10050,17-09-2024,98,Delivered,Road
SHP90117,NY20,PRD10060,16-08-2024,57,Delivered,Air
SHP90118,P5TB,PRD10039,22-08-2024,72,Cancelled,Road
SHP90119,SV87,PRD10017,01-09-2024,66,In Transit,Air
SHP90120,AM14,PRD10053,04-02-2025,92,Delivered,Rail
SHP90121,A1WJ,PRD10027,26-10-2024,72,Cancelled,Air
SHP90122,30T9,PRD10065,21-06-2024,18,In Transit,Sea
SHP90123,0T0P,PRD10099,25-12-2024,82,Delivered,Rail
SHP90124,T2TA,PRD10025,30-04-2024,41,Delivered,Sea
SHP90125,30T9,PRD10046,27-03-2025,35,In Transit,Air
SHP90126,T4UF,PRD10064,21-10-2024,91,Delivered,Road
SHP90127,EIMV,PRD10047,07-12-2024,86,In Transit,Rail
SHP90128,ID25,PRD10075,08-01-2025,54,In Transit,Rail
SHP90129,4CIY,PRD10095,19-03-2025,21,In Transit,Road
SHP90130,EXQ7,PRD10006,23-06-2024,83,Delivered,Rail
SHP90131,A11D,PRD10028,13-03-2025,36,In Transit,Sea
SHP90132,I3QK,PRD10002,16-03-2025,11,In Transit,Rail
SHP90133,A11D,PRD10022,02-02-2025,11,Delivered,Air
SHP90134,2VLP,PRD10039,31-03-2025,100,Cancelled,Air
SHP90135,FKHM,PRD10048,26-09-2024,68,In Transit,Rail
SHP90136,T4UF,PRD10038,13-03-2025,76,Cancelled,Sea
SHP90137,P7Y6,PRD10013,04-04-2024,75,Cancelled,Air
SHP90138,PS3Y,PRD10082,30-01-2025,87,In Transit,Air
SHP90139,0RJI,PRD10013,03-12-2024,18,In Transit,Air
SHP90140,W1Q5,PRD10041,20-08-2024,43,Cancelled,Air
SHP90141,T2TA,PRD10019,21-12-2024,40,Delivered,Sea
SHP90142,7EEQ,PRD10040,15-03-2025,27,Cancelled,Road
SHP90143,A11D,PRD10063,30-08-2024,43,In Transit,Sea
SHP90144,EXQ7,PRD10094,19-04-2024,84,Cancelled,Rail
SHP90145,GHC0,PRD10092,23-07-2024,97,Cancelled,Sea
SHP90146,7EEQ,PRD10045,16-12-2024,48,Delivered,Rail
SHP90147,M5IG,PRD10012,28-11-2024,26,Cancelled,Air
SHP90148,AM14,PRD10071,03-07-2024,97,In Transit,Road
SHP90149,SV87,PRD10045,24-07-2024,49,In Transit,Air
