Product ID,Product Name,category_id,subcategory_id,Unit Cost,Unit Price,Shelf Life
PRD10000,7 Item 0,3,7,127.63,143.9,12
PRD10001,4 Item 1,2,4,422.83,570.2,37
PRD10002,10 Item 2,4,10,74.91,110.8,70
PRD10003,1 Item 3,1,1,310.83,461.74,46
PRD10004,1 Item 4,1,1,297.77,438.18,178
PRD10005,11 Item 5,4,11,471.91,556.54,165
PRD10006,4 Item 6,2,4,354.65,432.9,35
PRD10007,7 Item 7,3,7,275.72,376.25,134
PRD10008,1 Item 8,1,1,427.8,611.3,115
PRD10009,2 Item 9,1,2,447.96,575.13,116
PRD10010,5 Item 10,2,5,270.44,367.85,142
PRD10011,11 Item 11,4,11,229.08,318.97,87
PRD10012,4 Item 12,2,4,153.89,197.03,150
PRD10013,11 Item 13,4,11,33.78,48.66,129
PRD10014,6 Item 14,2,6,402.96,498.11,75
PRD10015,8 Item 15,3,8,475.07,538.85,130
PRD10016,5 Item 16,2,5,248.52,344.13,9
PRD10017,7 Item 17,3,7,126.37,173.98,174
PRD10018,3 Item 18,1,3,285.67,353.52,89
PRD10019,2 Item 19,1,2,237.8,290.75,35
PRD10020,6 Item 20,2,6,77.39,101.72,54
PRD10021,5 Item 21,2,5,252.42,350.82,157
PRD10022,1 Item 22,1,1,419.66,511.36,50
PRD10023,1 Item 23,1,1,359.85,414.06,18
PRD10024,2 Item 24,1,2,473.16,641.2,31
PRD10025,8 Item 25,3,8,156.48,202.09,52
PRD10026,7 Item 26,3,7,471.71,609.02,107
PRD10027,12 Item 27,4,12,296.97,408.21,43
PRD10028,1 Item 28,1,1,497.08,570.34,160
PRD10029,5 Item 29,2,5,202.58,296.46,155
PRD10030,11 Item 30,4,11,292.94,329.29,58
PRD10031,6 Item 31,2,6,337.01,391.88,146
PRD10032,9 Item 32,3,9,21.28,27.24,125
PRD10033,1 Item 33,1,1,131.11,181.3,23
PRD10034,6 Item 34,2,6,398.16,537.53,113
PRD10035,8 Item 35,3,8,127.91,148.32,41
PRD10036,9 Item 36,3,9,99.64,121.86,78
PRD10037,12 Item 37,4,12,244.98,299.28,74
PRD10038,11 Item 38,4,11,58.61,65.41,87
PRD10039,1 Item 39,1,1,63.84,94.79,155
PRD10040,8 Item 40,3,8,414.28,551.2,125
PRD10041,11 Item 41,4,11,107.11,142.9,28
PRD10042,11 Item 42,4,11,216.01,265.35,46
PRD10043,3 Item 43,1,3,352.96,428.95,145
PRD10044,7 Item 44,3,7,62.27,74.78,108
PRD10045,8 Item 45,3,8,437.3,561.84,53
PRD10046,2 Item 46,1,2,383.09,517.23,57
PRD10047,2 Item 47,1,2,82.89,100.73,36
PRD10048,8 Item 48,3,8,312.26,373.38,84
PRD10049,8 Item 49,3,8,215.84,256.82,123
PRD10050,8 Item 50,3,8,419.43,544.99,135
PRD10051,3 Item 51,1,3,420.67,627.68,121
PRD10052,6 Item 52,2,6,111.49,149.37,22
PRD10053,3 Item 53,1,3,183.14,259.16,5
PRD10054,2 Item 54,1,2,163.31,217.98,43
PRD10055,10 Item 55,4,10,252.48,311.3,101
PRD10056,11 Item 56,4,11,437.41,652.75,151
PRD10057,12 Item 57,4,12,430.89,544.78,126
PRD10058,11 Item 58,4,11,494.44,700.6,131
PRD10059,9 Item 59,3,9,261.1,348.85,117
PRD10060,8 Item 60,3,8,457.01,505.52,109
PRD10061,4 Item 61,2,4,245.36,365.02,164
PRD10062,10 Item 62,4,10,58.55,72.1,102
PRD10063,2 Item 63,1,2,364.98,512.34,14
PRD10064,9 Item 64,3,9,322.96,474.23,28
PRD10065,12 Item 65,4,12,384.98,531.87,118
PRD10066,5 Item 66,2,5,163.74,182.01,19
PRD10067,3 Item 67,1,3,199.92,231.55,110
PRD10068,4 Item 68,2,4,104.03,139.8,163
PRD10069,6 Item 69,2,6,458.16,530.2,168
PRD10070,3 Item 70,1,3,142.56,157.35,78
PRD10071,4 Item 71,2,4,232.03,287.31,81
PRD10072,10 Item 72,4,10,140.05,201.41,103
PRD10073,12 Item 73,4,12,133.86,177.87,80
PRD10074,1 Item 74,1,1,489.41,667.21,7
PRD10075,8 Item 75,3,8,377.68,541.27,63
PRD10076,1 Item 76,1,1,325.58,439,165
PRD10077,8 Item 77,3,8,330.24,404.07,13
PRD10078,2 Item 78,1,2,83.08,121.62,111
PRD10079,4 Item 79,2,4,83.44,109.79,140
PRD10080,1 Item 80,1,1,143.35,204.97,80
PRD10081,1 Item 81,1,1,244.8,276.65,178
PRD10082,10 Item 82,4,10,195.57,276.98,72
PRD10083,7 Item 83,3,7,196.92,275.61,154
PRD10084,10 Item 84,4,10,471.34,538.9,125
PRD10085,8 Item 85,3,8,444.43,588.68,61
PRD10086,8 Item 86,3,8,415.45,608.12,171
PRD10087,12 Item 87,4,12,87.09,128.76,131
PRD10088,9 Item 88,3,9,132.7,174.5,121
PRD10089,2 Item 89,1,2,475.7,655.8,112
PRD10090,6 Item 90,2,6,334.36,479.3,109
PRD10091,1 Item 91,1,1,351.33,417,65
PRD10092,1 Item 92,1,1,490.85,612.06,20
PRD10093,11 Item 93,4,11,111.11,127.65,28
PRD10094,5 Item 94,2,5,326.96,486.66,90
PRD10095,4 Item 95,2,4,397.75,470.17,58
PRD10096,4 Item 96,2,4,177.71,205.97,5
PRD10097,1 Item 97,1,1,494.01,650.16,33
PRD10098,9 Item 98,3,9,27.13,38.42,155
PRD10099,1 Item 99,1,1,103.64,116.18,139
