Site ID,Site Name,Site Format,Region,City,State_id,Store Size,Open Date,Status
JI0Y,Smart Mumbai,Digital,North,Mumbai,1,6041,03-05-2015,Active
VUZZ,Digital Ahmedabad,Fresh,North,Ahmedabad,2,19719,10-08-2021,Inactive
PKH1,Smart Mumbai,Smart,North,Mumbai,1,17449,01-02-2016,Inactive
30T9,Digital Hubli,Smart,South,Hubli,5,23089,15-04-2018,Inactive
CX19,Fresh New Delhi,Smart,North,New Delhi,4,17455,12-02-2018,Inactive
MYZY,Smart Bangalore,Fresh,South,Bangalore,5,22502,06-03-2023,Active
J7YH,Trends Surat,Smart,South,Surat,2,12505,12-05-2015,Inactive
H75L,Digital Coimbatore,Digital,West,Coimbatore,3,26064,23-02-2020,Active
0T0P,Digital Bangalore,Trends,West,Bangalore,5,12186,20-07-2016,Inactive
FFYV,Digital Mumbai,Digital,West,Mumbai,1,24526,01-04-2020,Inactive
ZYTJ,Trends New Delhi,Smart,North,New Delhi,4,14617,16-11-2019,Active
5JSG,Smart Chennai,Trends,North,Chennai,3,25937,10-09-2020,Active
T2TA,Trends Surat,Digital,West,Surat,2,5638,03-04-2016,Inactive
IUC0,Smart Bangalore,Fresh,West,Bangalore,5,9207,26-05-2022,Inactive
SV87,Fresh New Delhi,Trends,South,New Delhi,4,18074,14-07-2022,Inactive
EIMV,Fresh Madurai,Fresh,South,Madurai,3,5235,18-10-2015,Active
4CIY,Fresh Ahmedabad,Fresh,West,Ahmedabad,2,28702,27-05-2021,Inactive
GDPP,Digital Surat,Smart,South,Surat,2,27064,30-04-2022,Active
M5IG,Digital Pune,Fresh,North,Pune,1,18824,21-01-2017,Inactive
P5TB,Smart Chennai,Smart,West,Chennai,3,29692,26-08-2017,Active
HOCN,Digital Coimbatore,Trends,South,Coimbatore,3,19909,14-03-2018,Inactive
GHC0,Smart New Delhi,Trends,West,New Delhi,4,6873,25-07-2015,Inactive
8CGV,Fresh New Delhi,Digital,West,New Delhi,4,8928,22-05-2021,Active
CXUL,Trends New Delhi,Fresh,North,New Delhi,4,26945,12-01-2023,Inactive
EXQ7,Smart Surat,Smart,South,Surat,2,20017,19-12-2021,Active
SEMC,Fresh Nagpur,Trends,West,Nagpur,1,14338,08-10-2016,Inactive
93TY,Trends New Delhi,Smart,North,New Delhi,4,9400,19-12-2017,Active
FKHM,Trends Nagpur,Digital,North,Nagpur,1,13228,28-07-2015,Active
A1WJ,Digital Coimbatore,Digital,West,Coimbatore,3,23379,09-02-2015,Active
T4UF,Fresh Nagpur,Smart,West,Nagpur,1,15101,02-02-2019,Active
ID25,Digital Bangalore,Fresh,North,Bangalore,5,12757,27-10-2016,Active
0L72,Fresh Chennai,Trends,West,Chennai,3,10216,31-10-2023,Active
I3QK,Fresh Chennai,Fresh,South,Chennai,3,5775,27-05-2022,Active
58KX,Digital Coimbatore,Trends,South,Coimbatore,3,5904,17-04-2016,Inactive
BVM2,Digital Vadodara,Smart,South,Vadodara,2,17622,19-06-2021,Active
PS3Y,Fresh Bangalore,Trends,North,Bangalore,5,19132,14-10-2015,Inactive
4ZKL,Digital New Delhi,Trends,North,New Delhi,4,18185,26-10-2022,Inactive
P7Y6,Trends New Delhi,Digital,West,New Delhi,4,22954,02-01-2015,Inactive
2VLP,Fresh Bangalore,Digital,South,Bangalore,5,29115,26-11-2016,Active
WM31,Trends Hubli,Fresh,North,Hubli,5,11525,26-08-2016,Active
W1Q5,Fresh Mumbai,Digital,South,Mumbai,1,21199,25-06-2019,Active
A11D,Digital Vadodara,Fresh,North,Vadodara,2,10763,21-10-2022,Inactive
7EEQ,Trends Nagpur,Digital,West,Nagpur,1,25075,25-01-2023,Inactive
0RJI,Trends New Delhi,Digital,West,New Delhi,4,25537,06-09-2017,Inactive
KJLT,Fresh Chennai,Fresh,North,Chennai,3,12577,18-04-2019,Active
OTOH,Digital Ahmedabad,Digital,South,Ahmedabad,2,24139,19-10-2022,Active
AM14,Digital New Delhi,Fresh,South,New Delhi,4,20998,17-06-2017,Inactive
NY20,Digital Coimbatore,Fresh,West,Coimbatore,3,25390,27-12-2020,Active
XDP5,Fresh Madurai,Smart,North,Madurai,3,13524,02-04-2019,Inactive
M5K8,Digital Surat,Trends,South,Surat,2,7683,10-04-2020,Active
